S.No.,DIVISION,Distrcit ,Types of Institute,Type ,Institute Name,Trade/ Branch Name,Seats
70,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Mechanic (Motor Vehicle) (NSQF),24
71,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Mechanic Diesel (NSQF),48
72,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Welder (NSQF),40
73,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - BICHHIYA, DIST - MANDLA",Computer Operator And Programming Assistant (NSQF),24
74,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - BICHHIYA, DIST - MANDLA",Electrician (NSQF),20
75,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - BICHHIYA, DIST - MANDLA",Welder (NSQF),20
76,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NIWAS, DIST - MANDLA",Computer Operator And Programming Assistant (NSQF),48
77,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NIWAS, DIST - MANDLA",Electrician (NSQF),20
78,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NIWAS, DIST - MANDLA",Mechanic Diesel (NSQF),48
79,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NIWAS, DIST - MANDLA",Plumber (NSQF),24
80,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NIWAS, DIST - MANDLA",Sewing Technology (Cutting & Tailoring) (NSQF),20
81,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NIWAS, DIST - MANDLA",Welder (NSQF),40
82,BALAGHAT,SEONI,ITI,Government,"GOVT. ITI DHANORA, DIST. SEONI",Fitter (NSQF),20
83,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KURRAI, DIST - SEONI",Computer Operator And Programming Assistant (NSQF),48
84,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KURRAI, DIST - SEONI",Electrician (NSQF),20
85,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KURRAI, DIST - SEONI",Electronics Mechanic (NSQF),24
86,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KURRAI, DIST - SEONI",Fitter (NSQF),20
87,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KURRAI, DIST - SEONI",Mechanic Diesel (NSQF),48
88,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KURRAI, DIST - SEONI",Welder (NSQF),40
89,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - BARGHAT, DIST - SEONI",Computer Operator And Programming Assistant (NSQF),48
90,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - BARGHAT, DIST - SEONI",Electrician (NSQF),20
91,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - BARGHAT, DIST - SEONI",Fitter (NSQF),20
92,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - BARGHAT, DIST - SEONI",Mechanic Diesel (NSQF),48
93,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - BARGHAT, DIST - SEONI",Welder (NSQF),40
94,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - CHHAPARA, DIST - SEONI",Computer Operator And Programming Assistant (NSQF),48
95,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - CHHAPARA, DIST - SEONI",Electrician (NSQF),20
96,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - CHHAPARA, DIST - SEONI",Fitter (NSQF),20
97,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - CHHAPARA, DIST - SEONI",Mechanic Diesel (NSQF),48
98,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - CHHAPARA, DIST - SEONI",Stenographer & Secretarial Assistant (Hindi) (NSQF),48
99,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - CHHAPARA, DIST - SEONI",Welder (NSQF),40
100,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KEOLARI, DIST - SEONI",Computer Operator And Programming Assistant (NSQF),48
101,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KEOLARI, DIST - SEONI",Electrician (NSQF),20
102,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KEOLARI, DIST - SEONI",Fitter (NSQF),20
103,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KEOLARI, DIST - SEONI",Mechanic Diesel (NSQF),48
104,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KEOLARI, DIST - SEONI",Sewing Technology (Cutting & Tailoring) (NSQF),20
105,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - KEOLARI, DIST - SEONI",Welder (NSQF),40
106,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Computer Operator And Programming Assistant (NSQF),48
107,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Desk Top Publishing Operator (NSQF),48
108,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Electrician (NSQF),20
109,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Electronics Mechanic (NSQF),24
110,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Fitter (NSQF),20
111,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Machinist (NSQF),20
112,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Mechanic (Motor Vehicle) (NSQF),24
113,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Mechanic Diesel (NSQF),48
114,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Stenographer & Secretarial Assistant (Hindi) (NSQF),48
115,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Turner (NSQF),20
116,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Welder (NSQF),40
117,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Draughtsman (Civil) (NSQF),24
118,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - SEONI, DIST - SEONI",Wood Work Technician (Carpenter)(NSQF),24
119,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - LAKHNADAUN, DIST - SEONI",Computer Operator And Programming Assistant (NSQF),48
120,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - LAKHNADAUN, DIST - SEONI",Electrician (NSQF),20
121,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - LAKHNADAUN, DIST - SEONI",Fitter (NSQF),20
122,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - LAKHNADAUN, DIST - SEONI",Mechanic Diesel (NSQF),24
123,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - LAKHNADAUN, DIST - SEONI",Welder (NSQF),40
124,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - GHANSAUR, DIST - SEONI",Computer Operator And Programming Assistant (NSQF),48
125,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - GHANSAUR, DIST - SEONI",Electrician (NSQF),20
126,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - GHANSAUR, DIST - SEONI",Fitter (NSQF),20
127,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - GHANSAUR, DIST - SEONI",Mechanic Diesel (NSQF),48
128,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - GHANSAUR, DIST - SEONI",Welder (NSQF),40
129,BALAGHAT,SEONI,ITI,Government,"GOVT ITI - GHANSAUR, DIST - SEONI",Refrigeration And Air Conditioning Technician(NSQF),24
130,BHOPAL,BETUL,ITI,Government,"GOVT ITI - PRABHAT PATTAN, DIST - BETUL",Electrician (NSQF),20
131,BHOPAL,BETUL,ITI,Government,"GOVT WOMEN ITI - BETUL, DIST - BETUL",Computer Operator And Programming Assistant (NSQF),48
132,BHOPAL,BETUL,ITI,Government,"GOVT WOMEN ITI - BETUL, DIST - BETUL",Electrician (NSQF),20
133,BHOPAL,BETUL,ITI,Government,"GOVT WOMEN ITI - BETUL, DIST - BETUL",Electronics Mechanic (NSQF),24
134,BHOPAL,BETUL,ITI,Government,"GOVT WOMEN ITI - BETUL, DIST - BETUL",Floriculture & Landscaping (NSQF),48
135,BHOPAL,BETUL,ITI,Government,"GOVT WOMEN ITI - BETUL, DIST - BETUL",Information Communication Technology System Maintenance (NSQF),24
136,BHOPAL,BETUL,ITI,Government,"GOVT WOMEN ITI - BETUL, DIST - BETUL",Mechanic Computer Hardware (NSQF),24
137,BHOPAL,BETUL,ITI,Government,"GOVT WOMEN ITI - BETUL, DIST - BETUL",Office Assitant Cum Computer Operator (NSQF),48
138,BHOPAL,BETUL,ITI,Government,"GOVT WOMEN ITI - BETUL, DIST - BETUL",Sewing Technology (Cutting & Tailoring) (NSQF),40
139,BHOPAL,BETUL,ITI,Government,"GOVT WOMEN ITI - BETUL, DIST - BETUL",Stenographer & Secretarial Assistant (English) (NSQF),24
140,BHOPAL,BETUL,ITI,Government,"GOVT WOMEN ITI - BETUL, DIST - BETUL",Stenographer & Secretarial Assistant (Hindi) (NSQF),24
141,BHOPAL,BETUL,ITI,Government,"GOVT ITI - CHINCHOLI, DIST - BETUL",Computer Operator And Programming Assistant (NSQF),48
142,BHOPAL,BETUL,ITI,Government,"GOVT ITI - CHINCHOLI, DIST - BETUL",Electrician (NSQF),20
143,BHOPAL,BETUL,ITI,Government,"GOVT ITI - CHINCHOLI, DIST - BETUL",Fitter (NSQF),20
144,BHOPAL,BETUL,ITI,Government,"GOVT ITI - CHINCHOLI, DIST - BETUL",Welder (NSQF),40
145,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BHIMPUR, DIST - BETUL",Computer Operator And Programming Assistant (NSQF),48
146,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BHIMPUR, DIST - BETUL",Electrician (NSQF),20
147,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BHIMPUR, DIST - BETUL",Fitter (NSQF),20
148,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BHIMPUR, DIST - BETUL",Solar Technician (Electrical)(NSQF),20
149,BHOPAL,BETUL,ITI,Government,"GOVT ITI - SHAHPUR, DIST - BETUL",Computer Operator And Programming Assistant (NSQF),24
150,BHOPAL,BETUL,ITI,Government,"GOVT ITI - SHAHPUR, DIST - BETUL",Electrician (NSQF),20
151,BHOPAL,BETUL,ITI,Government,"GOVT ITI - SHAHPUR, DIST - BETUL",Mechanic Diesel (NSQF),24
152,BHOPAL,BETUL,ITI,Government,"GOVT ITI - SHAHPUR, DIST - BETUL",Welder (NSQF),40
153,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BETUL, DIST - BETUL",Computer Operator And Programming Assistant (NSQF),48
154,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BETUL, DIST - BETUL",Electrician (NSQF),40
155,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BETUL, DIST - BETUL",Electronics Mechanic (NSQF),24
156,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BETUL, DIST - BETUL",Fitter (NSQF),20
157,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BETUL, DIST - BETUL",Mechanic (Motor Vehicle) (NSQF),24
158,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BETUL, DIST - BETUL",Mechanic Diesel (NSQF),48
159,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BETUL, DIST - BETUL",Stenographer & Secretarial Assistant (Hindi) (NSQF),48
160,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BETUL, DIST - BETUL",Turner (NSQF),20
161,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BETUL, DIST - BETUL",Welder (NSQF),40
162,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BETUL, DIST - BETUL",Draughtsman (Civil) (NSQF),24
163,BHOPAL,BETUL,ITI,Government,"GOVT ITI - BETUL, DIST - BETUL",Wood Work Technician (Carpenter)(NSQF),48
164,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Cosmetology (NSQF),24
165,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Computer Hardware & Network Maintenance (NSQF),48
166,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Computer Operator & Programming Assistant (Vi) (NSQF) दृष्टि बाधित,24
167,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Computer Operator And Programming Assistant (NSQF),192
168,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Draughtsman (Mechanical) (NSQF),48
169,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Dress Making (NSQF),80
170,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Electrician (NSQF),160
171,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Electronics Mechanic (NSQF),48
172,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Fitter (NSQF),120
173,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Food & Beverages Services Assistant (NSQF),20
174,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Food Production (General) (NSQF),24
175,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,House Keeper (NSQF),24
176,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Instrument Mechanic (NSQF),24
177,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Litho-Offset Machine Minder (NSQF),20
178,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Machinist (NSQF),60
179,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Mason (Building Constructor) (NSQF),24
180,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Mechanic (Motor Vehicle) (NSQF),48
181,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Mechanic (Tractor) (NSQF),40
182,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Mechanic Diesel (NSQF),96
183,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Operator Advanced Machine Tools,16
184,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Painter General (NSQF),20
185,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Plumber (NSQF),48
186,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Sewing Technology (Cutting & Tailoring) (NSQF),40
187,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Sheet Metal Worker (NSQF),20
188,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Stenographer & Secretarial Assistant (English) (NSQF),72
189,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Stenographer & Secretarial Assistant (Hindi) (NSQF),144
190,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Tool And Die Maker (Die And Modules) (NSQF),24
191,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Turner (NSQF),80
192,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Internet Of Things (Smart City),24
193,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Welder (NSQF),80
194,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Surveyor ( Nsqf),24
195,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Draughtsman (Civil) (NSQF),24
196,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Milk & Milk Product Technician (NSQF),24
197,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Refrigeration And Air Conditioning Technician(NSQF),96
198,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Wood Work Technician (Carpenter)(NSQF),72
199,BHOPAL,BHOPAL,ITI,Government,DIVISIONAL ITI BHOPAL,Computer Operator & Programming Assistant (Hi) (NSQF) श्रवण बाधित,24
200,BHOPAL,BHOPAL,ITI,Government,"GOVT ITI - BAIRASIA, DIST - BHOPAL",Computer Operator And Programming Assistant (NSQF),48
201,BHOPAL,BHOPAL,ITI,Government,"GOVT ITI - BAIRASIA, DIST - BHOPAL",Electrician (NSQF),20
202,BHOPAL,BHOPAL,ITI,Government,"GOVT ITI - BAIRASIA, DIST - BHOPAL",Electronics Mechanic (NSQF),24
203,BHOPAL,BHOPAL,ITI,Government,"GOVT ITI - BAIRASIA, DIST - BHOPAL",Mechanic (Motor Vehicle) (NSQF),24
204,BHOPAL,BHOPAL,ITI,Government,"GOVT ITI - BAIRASIA, DIST - BHOPAL",Stenographer & Secretarial Assistant (Hindi) (NSQF),48
205,BHOPAL,BHOPAL,ITI,Government,"GOVT ITI - BAIRASIA, DIST - BHOPAL",Welder (NSQF),40
206,BHOPAL,HARDA,ITI,Government,"GOVT ITI - TIMARNI (RAHATGAON), DIST - HARDA",Computer Operator And Programming Assistant (NSQF),48
207,BHOPAL,HARDA,ITI,Government,"GOVT ITI - TIMARNI (RAHATGAON), DIST - HARDA",Electrician (NSQF),20
208,BHOPAL,HARDA,ITI,Government,"GOVT ITI - TIMARNI (RAHATGAON), DIST - HARDA",Fitter (NSQF),20
209,BHOPAL,HARDA,ITI,Government,"GOVT ITI - TIMARNI (RAHATGAON), DIST - HARDA",Welder (NSQF),40
210,BHOPAL,HARDA,ITI,Government,"GOVT ITI - HARDA, DIST - HARDA",Computer Operator And Programming Assistant (NSQF),48
211,BHOPAL,HARDA,ITI,Government,"GOVT ITI - HARDA, DIST - HARDA",Electrician (NSQF),20
212,BHOPAL,HARDA,ITI,Government,"GOVT ITI - HARDA, DIST - HARDA",Electronics Mechanic (NSQF),24
213,BHOPAL,HARDA,ITI,Government,"GOVT ITI - HARDA, DIST - HARDA",Fitter (NSQF),20
